Realdel av fasskift,Tlab [Mev]
39.5794,199.6
39.548,199.8
39.5166,200
39.4851,200.2
39.4537,200.4
39.4223,200.6
39.3908,200.8
39.3594,201
39.3279,201.2
39.2965,201.4
39.265,201.6
39.2336,201.8
39.2021,202
39.1706,202.2
39.1391,202.4
39.1077,202.6
39.0762,202.8
39.0447,203
39.0132,203.2
38.9817,203.4
38.9502,203.6
38.9187,203.8
38.8872,204
38.8557,204.2
38.8242,204.4
38.7927,204.6
38.7611,204.8
38.7296,205
38.6981,205.2
38.6665,205.4
38.635,205.6
38.6035,205.8
38.5719,206
38.5404,206.2
38.5088,206.4
38.4773,206.6
38.4457,206.8
38.4141,207
38.3826,207.2
38.351,207.4
38.3194,207.6
38.2878,207.8
38.2563,208
38.2247,208.2
38.1931,208.4
38.1615,208.6
38.1299,208.8
38.0983,209
38.0667,209.2
38.0351,209.4
38.0035,209.6
37.9719,209.8
37.9402,210
37.9086,210.2
37.877,210.4
37.8454,210.6
37.8138,210.8
37.7821,211
37.7505,211.2
37.7188,211.4
37.6872,211.6
37.6556,211.8
37.6239,212
37.5923,212.2
37.5606,212.4
37.5289,212.6
37.4973,212.8
37.4656,213
37.434,213.2
37.4023,213.4
37.3706,213.6
37.3389,213.8
37.3073,214
37.2756,214.2
37.2439,214.4
37.2122,214.6
37.1805,214.8
37.1488,215
37.1171,215.2
37.0854,215.4
37.0537,215.6
37.022,215.8
36.9903,216
36.9586,216.2
36.9269,216.4
36.8952,216.6
36.8635,216.8
36.8317,217
36.8,217.2
36.7683,217.4
36.7366,217.6
36.7048,217.8
36.6731,218
36.6414,218.2
36.6096,218.4
36.5779,218.6
36.5462,218.8
36.5144,219
36.4827,219.2
36.4509,219.4
36.4192,219.6
36.3874,219.8
36.3557,220
36.3239,220.2
36.2921,220.4
36.2604,220.6
36.2286,220.8
36.1968,221
36.1651,221.2
36.1333,221.4
36.1015,221.6
36.0698,221.8
36.038,222
36.0062,222.2
35.9744,222.4
35.9426,222.6
35.9109,222.8
35.8791,223
35.8473,223.2
35.8155,223.4
35.7837,223.6
35.7519,223.8
35.7201,224
35.6883,224.2
35.6565,224.4
35.6247,224.6
35.5929,224.8
35.5611,225
35.5293,225.2
35.4975,225.4
35.4657,225.6
35.4339,225.8
35.4021,226
35.3702,226.2
35.3384,226.4
35.3066,226.6
35.2748,226.8
35.243,227
35.2112,227.2
35.1793,227.4
35.1475,227.6
35.1157,227.8
35.0839,228
35.052,228.2
35.0202,228.4
34.9884,228.6
34.9565,228.8
34.9247,229
34.8929,229.2
34.861,229.4
34.8292,229.6
34.7974,229.8
34.7655,230
34.7337,230.2
34.7018,230.4
34.67,230.6
34.6382,230.8
34.6063,231
34.5745,231.2
34.5426,231.4
34.5108,231.6
34.4789,231.8
34.4471,232
34.4152,232.2
34.3834,232.4
34.3515,232.6
34.3197,232.8
34.2878,233
34.256,233.2
34.2241,233.4
34.1923,233.6
34.1604,233.8
34.1286,234
34.0967,234.2
34.0649,234.4
34.033,234.6
34.0011,234.8
33.9693,235
33.9374,235.2
33.9056,235.4
33.8737,235.6
33.8419,235.8
33.81,236
33.7781,236.2
33.7463,236.4
33.7144,236.6
33.6826,236.8
33.6507,237
33.6188,237.2
33.587,237.4
33.5551,237.6
33.5233,237.8
33.4914,238
33.4595,238.2
33.4277,238.4
33.3958,238.6
33.364,238.8
33.3321,239
33.3002,239.2
33.2684,239.4
33.2365,239.6
33.2047,239.8
33.1728,240
33.1409,240.2
33.1091,240.4
33.0772,240.6
33.0454,240.8
33.0135,241
32.9817,241.2
32.9498,241.4
32.9179,241.6
32.8861,241.8
32.8542,242
32.8224,242.2
32.7905,242.4
32.7587,242.6
32.7268,242.8
32.695,243
32.6631,243.2
32.6313,243.4
32.5994,243.6
32.5676,243.8
32.5357,244
32.5039,244.2
32.472,244.4
32.4402,244.6
32.4083,244.8
32.3765,245
32.3446,245.2
32.3128,245.4
32.2809,245.6
32.2491,245.8
32.2173,246
32.1854,246.2
32.1536,246.4
32.1218,246.6
32.0899,246.8
32.0581,247
32.0262,247.2
31.9944,247.4
31.9626,247.6
31.9308,247.8
31.8989,248
31.8671,248.2
31.8353,248.4
31.8034,248.6
31.7716,248.8
31.7398,249
31.708,249.2
31.6762,249.4
31.6444,249.6
31.6125,249.8
31.5807,250
31.5489,250.2
31.5171,250.4
31.4853,250.6
31.4535,250.8
31.4217,251
31.3899,251.2
31.3581,251.4
31.3263,251.6
31.2945,251.8
31.2627,252
31.2309,252.2
31.1991,252.4
31.1673,252.6
31.1355,252.8
31.1037,253
31.0719,253.2
31.0402,253.4
31.0084,253.6
30.9766,253.8
30.9448,254
30.913,254.2
30.8813,254.4
30.8495,254.6
30.8177,254.8
30.786,255
30.7542,255.2
30.7224,255.4
30.6907,255.6
30.6589,255.8
30.6272,256
30.5954,256.2
30.5637,256.4
30.5319,256.6
30.5002,256.8
30.4685,257
30.4367,257.2
30.405,257.4
30.3732,257.6
30.3415,257.8
30.3098,258
30.2781,258.2
30.2463,258.4
30.2146,258.6
30.1829,258.8
30.1512,259
30.1195,259.2
30.0878,259.4
30.0561,259.6
30.0244,259.8
29.9927,260
29.961,260.2
29.9293,260.4
29.8976,260.6
29.8659,260.8
29.8342,261
29.8025,261.2
29.7709,261.4
29.7392,261.6
29.7075,261.8
29.6759,262
29.6442,262.2
29.6125,262.4
29.5809,262.6
29.5492,262.8
29.5176,263
29.4859,263.2
29.4543,263.4
29.4227,263.6
29.391,263.8
29.3594,264
29.3278,264.2
29.2961,264.4
29.2645,264.6
29.2329,264.8
29.2013,265
29.1697,265.2
29.1381,265.4
29.1065,265.6
29.0749,265.8
29.0433,266
29.0117,266.2
28.9801,266.4
28.9485,266.6
28.9169,266.8
28.8854,267
28.8538,267.2
28.8222,267.4
28.7907,267.6
28.7591,267.8
28.7276,268
28.696,268.2
28.6645,268.4
28.6329,268.6
28.6014,268.8
28.5699,269
28.5383,269.2
28.5068,269.4
28.4753,269.6
28.4438,269.8
28.4123,270
28.3808,270.2
28.3493,270.4
28.3178,270.6
28.2863,270.8
28.2548,271
28.2233,271.2
28.1918,271.4
28.1604,271.6
28.1289,271.8
28.0974,272
28.066,272.2
28.0345,272.4
28.0031,272.6
27.9716,272.8
27.9402,273
27.9088,273.2
27.8773,273.4
27.8459,273.6
27.8145,273.8
27.7831,274
27.7517,274.2
27.7203,274.4
27.6889,274.6
27.6575,274.8
27.6261,275
27.5947,275.2
27.5633,275.4
27.532,275.6
27.5006,275.8
27.4692,276
27.4379,276.2
27.4065,276.4
27.3752,276.6
27.3439,276.8
27.3125,277
27.2812,277.2
27.2499,277.4
27.2186,277.6
27.1873,277.8
27.156,278
27.1247,278.2
27.0934,278.4
27.0621,278.6
27.0308,278.8
26.9995,279
26.9683,279.2
26.937,279.4
26.9058,279.6
26.8745,279.8
26.8433,280
26.812,280.2
26.7808,280.4
26.7496,280.6
26.7183,280.8
